keyword,identifier,title,card_url,image_url
鬼,U426_nichibunken_0058_0010_0000,鬼；オニ，性器；セイキ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0058_0010_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0058_0010_0000.jpg
鬼,U426_nichibunken_0058_0011_0000,赤鬼；アカオニ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0058_0011_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0058_0011_0000.jpg
鬼,U426_nichibunken_0058_0012_0000,鬼；オニ，お面；オメン,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0058_0012_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0058_0012_0000.jpg
鬼,U426_nichibunken_0060_0002_0000,鬼；オニ，毛抜き；ケヌキ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0060_0002_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0060_0002_0000.jpg
鬼,U426_nichibunken_0061_0001_0000,鬼；オニ，双六；スゴロク,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0061_0001_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0061_0001_0000.jpg
鬼,U426_nichibunken_0061_0001_0001,鬼；オニ，双六；スゴロク,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0061_0001_0001,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0061_0001_0001.jpg
鬼,U426_nichibunken_0061_0003_0000,鬼；オニ，牛車；ギッシャ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0061_0003_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0061_0003_0000.jpg
鬼,U426_nichibunken_0061_0003_0001,鬼；オニ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0061_0003_0001,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0061_0003_0001.jpg
鬼,U426_nichibunken_0061_0004_0000,鬼；オニ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0061_0004_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0061_0004_0000.jpg
鬼,U426_nichibunken_0062_0001_0000,鬼；オニ，双六；スゴロク,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0062_0001_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0062_0001_0000.jpg
鬼,U426_nichibunken_0062_0001_0001,鬼；オニ，双六；スゴロク,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0062_0001_0001,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0062_0001_0001.jpg
鬼,U426_nichibunken_0062_0003_0000,鬼；オニ，牛車；ギッシャ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0062_0003_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0062_0003_0000.jpg
鬼,U426_nichibunken_0062_0003_0001,鬼；オニ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0062_0003_0001,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0062_0003_0001.jpg
鬼,U426_nichibunken_0062_0004_0000,鬼；オニ,https://www.nichibun.ac.jp/cgi-bin/YoukaiGazou/card.cgi?identifier=U426_nichibunken_0062_0004_0000,https://www.nichibun.ac.jp/YoukaiGazou/image/U426_nichibunken_0062_0004_0000.jpg
